AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Data Time S,Latitude,Longitude,Status
132.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",pm25,13.0,22.9,77.0,26.0,1015.0,77.0,132.0,21.0,3.8,2021-01-25 18:00:00,21.01994,105.77056,Unhealthy for sensitive groups
145.0,"Hà Nội/Chi cục BVMT, Vietnam",pm25,6.0,22.9,77.0,15.0,1015.0,84.0,145.0,21.0,3.8,2021-01-25 18:00:00,21.01525,105.80013,Unhealthy for sensitive groups
146.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",pm25,15.0,22.9,77.0,24.0,1015.0,102.0,146.0,21.0,3.0,2021-01-25 18:00:00,21.02022,105.81232,Unhealthy for sensitive groups
108.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",pm25,9.0,22.9,77.0,10.0,1015.0,61.0,108.0,21.0,3.8,2021-01-25 18:00:00,21.00577,105.74842,Unhealthy for sensitive groups
151.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",pm25,17.0,22.9,77.0,23.0,1015.0,104.0,151.0,21.0,3.8,2021-01-25 18:00:00,21.05121,105.78232,Unhealthy
109.0,"Hà Nội/Mầm non Kim Liên, Vietnam",pm25,8.0,22.9,77.0,10.0,1015.0,61.0,109.0,21.0,3.8,2021-01-25 18:00:00,21.0072,105.83572,Unhealthy for sensitive groups
185.0,"Cao Bằng/Trạm khí TTQT, Vietnam",pm10,5.0,22.9,73.4,10.0,985.6,185.0,174.0,22.6,2.0,2021-01-25 19:00:00,22.6782,106.245,Unhealthy
137.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",pm25,5.0,22.9,62.0,10.0,1007.0,42.0,137.0,31.0,5.1,2021-01-26 16:00:00,10.782978,106.700711,Unhealthy for sensitive groups
134.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",pm25,0.1,22.9,53.0,10.1,1014.0,42.0,134.0,25.0,4.1,2021-01-26 16:00:00,21.0215063,105.8188748,Unhealthy for sensitive groups
26.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",pm25,3.0,22.9,37.6,9.0,925.4,25.0,26.0,29.0,3.0,2021-01-26 16:00:00,13.998599,107.996482,Good
17.0,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",pm25,2.0,22.9,78.0,10.0,1014.0,21.0,17.0,24.0,3.6,2021-01-26 15:00:00,16.46226,107.596351,Good
126.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",pm25,12.0,22.9,57.0,23.0,1014.0,87.0,126.0,24.5,3.8,2021-01-26 15:00:00,21.04975,105.74187,Unhealthy for sensitive groups
176.0,"Bắc Ninh/Châu Khê, Vietnam",pm25,9.0,22.9,68.0,16.0,1017.0,102.0,176.0,19.0,0.5,2021-01-23 11:00:00,21.1137452,105.9268934,Unhealthy
103.0,"Lào Cai/KCN TALOONG1, Vietnam",pm25,42.0,22.9,76.7,3.0,1003.7,65.0,103.0,22.6,2.0,2021-01-26 16:00:00,22.3221386,104.1214227,Unhealthy for sensitive groups
44.0,"Ha Long, Vietnam (Tp Hạ Long)",pm25,5.0,22.9,85.3,5.0,1002.9,23.0,44.0,23.2,1.0,2021-01-26 15:00:00,20.9416,107.1158,Good
20.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",pm25,4.0,22.9,85.3,18.0,1002.9,12.0,20.0,23.2,1.0,2021-01-26 15:00:00,21.0357507,106.7641068,Good
75.0,"Bắc Ninh/Phong Cốc, Vietnam",pm25,2.0,22.9,53.0,10.0,1014.0,55.0,75.0,25.0,4.1,2021-01-26 16:00:00,21.1232473,106.2883295,Moderate
92.0,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",pm25,3.0,22.9,57.0,4.0,1014.0,59.0,92.0,24.5,3.8,2021-01-26 16:00:00,21.0272212,106.0342099,Moderate
117.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",pm25,15.0,22.9,57.0,27.0,1014.0,82.0,117.0,24.5,3.8,2021-01-26 15:00:00,21.03982,105.84726,Unhealthy for sensitive groups
73.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",pm25,4.0,22.9,57.0,11.0,1014.0,51.0,73.0,24.5,3.8,2021-01-26 15:00:00,20.98832,105.854897,Moderate
86.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",pm25,6.0,22.9,57.0,25.0,1014.0,56.0,86.0,24.5,3.8,2021-01-26 15:00:00,21.01994,105.77056,Moderate
104.0,"Hà Nội/Chi cục BVMT, Vietnam",pm25,5.0,22.9,57.0,22.0,1014.0,64.0,104.0,24.5,3.8,2021-01-26 14:00:00,21.01525,105.80013,Unhealthy for sensitive groups
113.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",pm25,8.0,22.9,57.0,14.0,1014.0,83.0,113.0,24.5,3.8,2021-01-26 15:00:00,21.02022,105.81232,Unhealthy for sensitive groups
117.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",pm25,8.0,22.9,57.0,20.0,1014.0,69.0,117.0,24.5,3.8,2021-01-26 15:00:00,21.05121,105.78232,Unhealthy for sensitive groups
79.0,"Hà Nội/Mầm non Kim Liên, Vietnam",pm25,6.0,22.9,57.0,10.0,1014.0,55.0,79.0,24.5,3.8,2021-01-26 15:00:00,21.0072,105.83572,Moderate
188.0,"Cao Bằng/Trạm khí TTQT, Vietnam",pm25,5.0,22.9,75.8,10.0,987.8,186.0,188.0,19.8,2.0,2021-01-26 16:00:00,22.6782,106.245,Unhealthy
117.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",pm25,5.0,22.9,60.0,10.0,1007.0,42.0,117.0,30.5,4.6,2021-01-27 15:00:00,10.782978,106.700711,Unhealthy for sensitive groups
109.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",pm25,0.2,22.9,60.0,15.6,1013.0,42.0,109.0,23.0,2.5,2021-01-27 15:00:00,21.0215063,105.8188748,Unhealthy for sensitive groups
14.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",pm25,2.0,22.9,48.9,3.0,925.2,14.0,14.0,28.6,2.0,2021-01-27 15:00:00,13.998599,107.996482,Good
87.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",pm25,13.0,22.9,60.0,19.0,1014.0,71.0,87.0,23.0,3.0,2021-01-27 14:00:00,21.04975,105.74187,Moderate
67.0,"Bắc Ninh/Châu Khê, Vietnam",pm25,2.0,22.9,60.0,9.0,1013.0,53.0,67.0,23.0,2.5,2021-01-27 15:00:00,21.1137452,105.9268934,Moderate
63.0,"Lào Cai/KCN TALOONG1, Vietnam",pm10,41.0,22.9,84.0,1.0,1003.3,63.0,28.0,20.4,3.0,2021-01-27 15:00:00,22.3221386,104.1214227,Moderate
45.0,"Ha Long, Vietnam (Tp Hạ Long)",pm25,5.0,22.9,80.0,5.0,1002.3,26.0,45.0,21.8,1.0,2021-01-27 14:00:00,20.9416,107.1158,Good
22.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",pm25,6.0,22.9,80.0,18.0,1002.3,13.0,22.0,21.8,1.0,2021-01-27 14:00:00,21.0357507,106.7641068,Good
142.0,"Bắc Ninh/Phong Cốc, Vietnam",pm25,5.0,22.9,60.0,34.0,1013.0,77.0,142.0,23.0,2.5,2021-01-27 15:00:00,21.1232473,106.2883295,Unhealthy for sensitive groups
106.0,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",pm25,4.0,22.9,60.0,5.0,1013.0,60.0,106.0,23.0,2.5,2021-01-27 15:00:00,21.0272212,106.0342099,Unhealthy for sensitive groups
88.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",pm25,48.0,22.9,60.0,50.0,1014.0,58.0,88.0,23.0,3.0,2021-01-27 14:00:00,21.03982,105.84726,Moderate
71.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",pm25,4.0,22.9,60.0,13.0,1014.0,47.0,71.0,23.0,3.0,2021-01-27 14:00:00,20.98832,105.854897,Moderate
63.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",pm25,5.0,22.9,60.0,21.0,1014.0,46.0,63.0,23.0,3.0,2021-01-27 14:00:00,21.01994,105.77056,Moderate
80.0,"Hà Nội/Chi cục BVMT, Vietnam",pm25,5.0,22.9,60.0,12.0,1014.0,53.0,80.0,23.0,3.0,2021-01-27 14:00:00,21.01525,105.80013,Moderate
84.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",pm25,5.0,22.9,60.0,8.0,1014.0,64.0,84.0,23.0,3.0,2021-01-27 14:00:00,21.02022,105.81232,Moderate
72.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",pm25,5.0,22.9,60.0,8.0,1014.0,47.0,72.0,23.0,3.0,2021-01-27 14:00:00,21.00577,105.74842,Moderate
82.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",pm25,9.0,22.9,60.0,19.0,1014.0,56.0,82.0,23.0,3.0,2021-01-27 14:00:00,21.05121,105.78232,Moderate
65.0,"Hà Nội/Mầm non Kim Liên, Vietnam",pm25,4.0,22.9,60.0,10.0,1014.0,46.0,65.0,23.0,3.0,2021-01-27 14:00:00,21.0072,105.83572,Moderate
199.0,"Cao Bằng/Trạm khí TTQT, Vietnam",pm10,5.0,22.9,67.7,10.0,986.8,199.0,191.0,20.8,2.0,2021-01-27 15:00:00,22.6782,106.245,Unhealthy
91.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",pm25,5.0,22.9,34.0,10.0,1009.5,42.0,91.0,32.5,2.5,2021-01-29 14:00:00,10.782978,106.700711,Moderate
164.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",pm25,0.2,22.9,49.0,14.2,1018.0,42.0,164.0,22.0,3.0,2021-01-29 15:00:00,21.0215063,105.8188748,Unhealthy
30.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",pm25,2.0,22.9,54.8,5.0,928.2,22.0,30.0,23.2,5.0,2021-01-29 15:00:00,13.998599,107.996482,Good
35.0,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",pm25,2.0,22.9,69.0,10.0,1018.0,20.0,35.0,24.0,7.2,2021-01-29 14:00:00,16.46226,107.596351,Good
141.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",pm25,12.0,22.9,49.0,24.0,1019.0,99.0,141.0,22.0,3.3,2021-01-29 14:00:00,21.04975,105.74187,Unhealthy for sensitive groups
113.0,"Lào Cai/KCN TALOONG1, Vietnam",pm25,30.0,22.9,70.1,3.0,1009.3,53.0,113.0,17.5,2.0,2021-01-29 15:00:00,22.3221386,104.1214227,Unhealthy for sensitive groups
46.0,"Ha Long, Vietnam (Tp Hạ Long)",pm25,5.0,22.9,71.9,5.0,1007.1,31.0,46.0,19.6,1.0,2021-01-29 14:00:00,20.9416,107.1158,Good
16.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",pm25,6.0,22.9,71.9,22.0,1007.1,12.0,16.0,19.6,1.0,2021-01-29 13:00:00,21.0357507,106.7641068,Good
118.0,"Bắc Ninh/Phong Cốc, Vietnam",pm25,5.0,22.9,49.0,32.0,1019.0,70.0,118.0,22.0,3.6,2021-01-29 14:00:00,21.1232473,106.2883295,Unhealthy for sensitive groups
145.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",pm25,38.0,22.9,49.0,54.0,1019.0,98.0,145.0,22.0,3.3,2021-01-29 14:00:00,21.03982,105.84726,Unhealthy for sensitive groups
96.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",pm25,6.0,22.9,49.0,22.0,1019.0,60.0,96.0,22.0,3.3,2021-01-29 14:00:00,20.98832,105.854897,Moderate
